Location(x=-61.728592, y=-77.297348, z=0.158620)
Location(x=117.599823, y=41.055317, z=0.158620)
Location(x=-12.691962, y=58.420502, z=0.158620)
Location(x=70.499191, y=-50.255753, z=0.158620)
Location(x=77.007515, y=78.553986, z=0.158620)
Location(x=-14.721585, y=122.875107, z=0.161510)
Location(x=54.582447, y=-76.616318, z=0.158620)
Location(x=-121.418510, y=-30.081902, z=0.158620)
Location(x=49.977238, y=-49.016514, z=0.158620)
Location(x=-9.188940, y=79.039291, z=0.158620)
Location(x=23.649546, y=-74.915390, z=0.268415)
Location(x=-89.378128, y=108.435188, z=0.158620)
Location(x=-23.162514, y=56.305557, z=0.158620)
Location(x=24.157637, y=7.003258, z=0.158620)
Location(x=23.549723, y=122.457878, z=0.158620)
Location(x=-17.533312, y=58.254871, z=0.158620)
Location(x=66.207756, y=58.429024, z=0.158620)
Location(x=-8.586388, y=34.922295, z=0.158620)
Location(x=-120.151505, y=-12.676261, z=0.158620)
Location(x=-93.918198, y=-28.606911, z=0.158620)
Location(x=-31.275158, y=56.675388, z=0.158620)
Location(x=46.054615, y=-48.048012, z=0.158620)
Location(x=-93.463188, y=2.654502, z=0.158620)
Location(x=-0.874317, y=-75.363312, z=0.158620)
Location(x=-2.791965, y=150.125137, z=0.158620)
Location(x=-67.155312, y=3.678312, z=0.158620)
Location(x=-120.419617, y=2.324779, z=0.158620)
Location(x=-95.521385, y=138.133789, z=0.158620)
Location(x=115.647797, y=44.288422, z=0.158620)
Location(x=32.434532, y=37.164783, z=0.158620)
Location(x=-118.105011, y=-37.914238, z=0.158620)
Location(x=88.676292, y=37.412876, z=0.158620)
Location(x=111.032501, y=118.702118, z=0.158620)
Location(x=74.142921, y=148.926956, z=0.158620)
Location(x=-1.823208, y=-77.784508, z=0.158620)
Location(x=-122.696838, y=26.016422, z=0.158620)
Location(x=-35.773483, y=54.977844, z=0.158620)
Location(x=51.256466, y=37.329803, z=0.158620)
Location(x=91.685890, y=-17.042768, z=0.158620)
Location(x=-32.106411, y=-49.141720, z=0.158620)
Location(x=10.418706, y=4.430102, z=0.158620)
Location(x=23.857304, y=149.764160, z=0.158620)
Location(x=-35.156208, y=43.779602, z=0.158620)
Location(x=116.392227, y=78.892395, z=0.158620)
Location(x=-18.245899, y=35.119820, z=0.158620)
Location(x=-32.387218, y=-32.917740, z=0.158620)
Location(x=-72.456894, y=-50.936363, z=0.158620)
Location(x=-93.713326, y=-11.318082, z=0.158620)
Location(x=81.050850, y=115.599197, z=0.158620)
Location(x=-15.807560, y=58.719933, z=0.158620)
Location(x=-37.288986, y=149.978516, z=0.158620)
Location(x=102.675331, y=-58.794968, z=0.158620)
Location(x=77.348694, y=122.013947, z=0.158620)
Location(x=43.224785, y=78.583588, z=0.158620)
Location(x=-57.479366, y=93.287506, z=0.158620)
Location(x=-4.576494, y=120.690315, z=0.158620)
Location(x=116.747513, y=107.233521, z=0.158620)
Location(x=-120.643669, y=41.893101, z=0.158620)
Location(x=84.243874, y=-45.128860, z=0.158620)
Location(x=27.169182, y=-49.295238, z=0.158620)
Location(x=115.836426, y=27.369238, z=0.158620)
Location(x=90.448853, y=43.102890, z=0.158620)
Location(x=-2.288334, y=38.189415, z=0.158620)
Location(x=-67.851524, y=-48.950691, z=0.158620)
Location(x=45.128174, y=122.954788, z=0.158620)
Location(x=91.400528, y=143.131958, z=0.158620)
Location(x=-18.812244, y=58.415237, z=0.158620)
Location(x=-22.517597, y=-76.017731, z=0.158620)
Location(x=-60.698925, y=-73.703766, z=0.158620)
Location(x=-17.088781, y=-75.162521, z=0.158620)
Location(x=-105.340134, y=-60.853943, z=0.158620)
Location(x=53.394753, y=37.358444, z=0.158620)
Location(x=-35.428753, y=-41.793285, z=0.158620)
Location(x=-119.912682, y=37.784725, z=0.158620)
Location(x=-1.612224, y=-75.888245, z=0.158620)
Location(x=-59.397667, y=-29.772243, z=0.158620)
Location(x=109.645157, y=-46.682198, z=0.158620)
Location(x=115.753212, y=45.850655, z=0.158620)
Location(x=117.162964, y=40.283737, z=0.158620)
Location(x=105.822762, y=125.793648, z=0.158620)
Location(x=8.120178, y=-76.241699, z=0.158620)
Location(x=45.235291, y=4.596715, z=0.158620)
Location(x=-5.537022, y=-50.178116, z=0.158620)
Location(x=52.581726, y=54.822250, z=0.158620)
Location(x=-12.909485, y=147.180847, z=0.158989)
Location(x=-120.925537, y=-21.228905, z=0.158620)
Location(x=58.721970, y=7.303363, z=0.158620)
Location(x=64.370041, y=58.059795, z=0.158620)
Location(x=41.856735, y=123.385048, z=0.158620)
Location(x=90.636581, y=106.292625, z=0.158620)
Location(x=-26.637894, y=36.810989, z=0.158620)
Location(x=92.865837, y=54.809799, z=0.158620)
Location(x=91.272942, y=-66.303200, z=0.158620)
Location(x=118.341476, y=75.870300, z=0.158620)
Location(x=116.178139, y=-34.085953, z=0.158620)
Location(x=-33.939220, y=-34.320061, z=0.158620)
Location(x=-88.572983, y=7.173313, z=0.158620)
Location(x=-120.633415, y=23.614695, z=0.158620)
Location(x=-95.332970, y=-31.746574, z=0.158620)
Location(x=31.138977, y=49.237301, z=0.158620)
Location(x=92.532394, y=-65.729942, z=0.158620)
Location(x=21.917328, y=124.686424, z=0.158620)
Location(x=65.740463, y=-73.186684, z=0.158620)
Location(x=-4.893476, y=77.805740, z=0.158620)
Location(x=-123.011726, y=40.114708, z=0.158620)
Location(x=-83.099770, y=3.816836, z=0.158620)
Location(x=-16.351349, y=34.493782, z=0.158620)
Location(x=-11.329999, y=34.657658, z=0.158620)
Location(x=41.763672, y=123.918930, z=0.158620)
Location(x=-20.170267, y=3.891704, z=0.158620)
Location(x=28.564032, y=-48.495930, z=0.158620)
Location(x=92.580605, y=-25.539555, z=0.158620)
Location(x=-123.602127, y=76.532265, z=0.158620)
Location(x=24.814342, y=79.826675, z=0.158620)
Location(x=-34.433311, y=-30.971731, z=0.158620)
Location(x=-121.125908, y=8.597942, z=0.158620)
Location(x=88.703125, y=58.074791, z=0.158620)
